Sequence Name	Annotation GO ID	Annotation GO Term	Annotation GO Category
XP_027836366.1	GO:0009922	fatty acid elongase activity	Molecular Function
XP_027836366.1	GO:0016020	membrane	Cellular Component
XP_027836366.1	GO:0019367	fatty acid elongation, saturated fatty acid	Biological Process
XP_027836366.1	GO:0030148	sphingolipid biosynthetic process	Biological Process
XP_027836366.1	GO:0034625	fatty acid elongation, monounsaturated fatty acid	Biological Process
XP_027836366.1	GO:0034626	fatty acid elongation, polyunsaturated fatty acid	Biological Process
XP_027836366.1	GO:0042761	very long-chain fatty acid biosynthetic process	Biological Process
XP_027836906.2	GO:0016020	membrane	Cellular Component
XP_027836906.2	GO:0022857	transmembrane transporter activity	Molecular Function
XP_027836906.2	GO:0055085	transmembrane transport	Biological Process
XP_027837033.1	GO:0004930	G protein-coupled receptor activity	Molecular Function
XP_027837033.1	GO:0007166	cell surface receptor signaling pathway	Biological Process
XP_027837033.1	GO:0007186	G protein-coupled receptor signaling pathway	Biological Process
XP_027837033.1	GO:0016020	membrane	Cellular Component
XP_027837484.2	GO:0005886	plasma membrane	Cellular Component
XP_027837559.2	GO:0016020	membrane	Cellular Component
XP_027837707.2	GO:0003333	amino acid transmembrane transport	Biological Process
XP_027837707.2	GO:0005774	vacuolar membrane	Cellular Component
XP_027837707.2	GO:0015179	L-amino acid transmembrane transporter activity	Molecular Function
XP_027838234.2	GO:0016020	membrane	Cellular Component
XP_027838677.2	GO:0016021	membrane	Cellular Component
XP_027838677.2	GO:0022857	transmembrane transporter activity	Molecular Function
XP_027838677.2	GO:0055085	transmembrane transport	Biological Process
XP_027838955.1	GO:0003677	DNA binding	Molecular Function
XP_027839372.2	GO:0005886	plasma membrane	Cellular Component
XP_027839372.2	GO:0008519	ammonium transmembrane transporter activity	Molecular Function
XP_027839372.2	GO:0072488	ammonium transmembrane transport	Biological Process
XP_027839372.2	GO:0097272	ammonium homeostasis	Biological Process
XP_027839386.1	GO:0004930	G protein-coupled receptor activity	Molecular Function
XP_027839386.1	GO:0005886	plasma membrane	Cellular Component
XP_027839386.1	GO:0007186	G protein-coupled receptor signaling pathway	Biological Process
XP_027839386.1	GO:0032870	cellular response to hormone stimulus	Biological Process
XP_027839386.1	GO:0042277	peptide binding	Molecular Function
XP_027839960.2	GO:0003824	catalytic activity	Molecular Function
XP_027839960.2	GO:0005789	endoplasmic reticulum membrane	Cellular Component
XP_027839960.2	GO:0005811	lipid droplet	Cellular Component
XP_027839960.2	GO:0051539	4 iron, 4 sulfur cluster binding	Molecular Function
XP_027839960.2	GO:0051607	defense response to virus	Biological Process
XP_027840237.2	GO:0004888	transmembrane signaling receptor activity	Molecular Function
XP_027840237.2	GO:0007165	signal transduction	Biological Process
XP_027840237.2	GO:0007268	chemical synaptic transmission	Biological Process
XP_027840237.2	GO:0022848	acetylcholine-gated monoatomic cation-selective channel activity	Molecular Function
XP_027840237.2	GO:0034220	monoatomic ion transmembrane transport	Biological Process
XP_027840237.2	GO:0042391	regulation of membrane potential	Biological Process
XP_027840237.2	GO:0043005	neuron projection	Cellular Component
XP_027840237.2	GO:0045211	postsynaptic membrane	Cellular Component
XP_027840237.2	GO:0050877	nervous system process	Biological Process
XP_027840458.2	GO:0005515	protein binding	Molecular Function
XP_027840580.1	GO:0005886	plasma membrane	Cellular Component
XP_027840580.1	GO:0051180	vitamin transport	Biological Process
XP_027840580.1	GO:0055085	transmembrane transport	Biological Process
XP_027840580.1	GO:0090482	vitamin transmembrane transporter activity	Molecular Function
XP_027840798.2	GO:0003677	DNA binding	Molecular Function
XP_027841148.2	GO:0044255	cellular lipid metabolic process	Biological Process
XP_027842540.2	GO:0005251	delayed rectifier potassium channel activity	Molecular Function
